

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   7 	 0.0012 	 0.4849 	 0.2241 	 0.0096 	 0.0007 	 0.1195 	 0.2903 	 0.8613
   8 	 0.0014 	 0.6545 	 0.2247 	 0.0097 	 0.0007 	 0.1390 	 0.3485 	 0.9571
   9 	 0.0019 	 0.7850 	 0.2237 	 0.0098 	 0.0008 	 0.1536 	 0.3926 	 1.0242
  10 	 0.0030 	 0.8673 	 0.2239 	 0.0097 	 0.0011 	 0.1631 	 0.4210 	 1.0647

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0012 	 0.0018 	 0.2224 	 0.0099 	 0.0005 	 0.0641 	 0.1246 	 0.4954
   2 	 0.0014 	 0.0016 	 0.2231 	 0.0094 	 0.0004 	 0.0641 	 0.1248 	 0.4960
   3 	 0.0012 	 0.0018 	 0.2229 	 0.0098 	 0.0005 	 0.0642 	 0.1248 	 0.4960
   4 	 0.0009 	 0.0016 	 0.2231 	 0.0096 	 0.0004 	 0.0642 	 0.1248 	 0.4960
   5 	 0.0014 	 0.0018 	 0.2231 	 0.0097 	 0.0004 	 0.0643 	 0.1249 	 0.4963
   6 	 0.0012 	 0.0016 	 0.2231 	 0.0095 	 0.0005 	 0.0642 	 0.1249 	 0.4963
   7 	 0.0012 	 0.0024 	 0.2237 	 0.0095 	 0.0005 	 0.0644 	 0.1253 	 0.4974
   8 	 0.0012 	 0.0036 	 0.2225 	 0.0097 	 0.0004 	 0.0643 	 0.1252 	 0.4975
   9 	 0.0012 	 0.0072 	 0.2236 	 0.0095 	 0.0005 	 0.0649 	 0.1269 	 0.5022
  10 	 0.0012 	 0.0114 	 0.2229 	 0.0097 	 0.0005 	 0.0653 	 0.1281 	 0.5058
